 Loan_ID, Nos_Dep, Education, Self_employed, Annual_income, Loan_amount, Loan_Term, Cibil_score, Residential_assets_value, Commercial_assets_value, Luxury_assets_value, Bank_asset_value, Loan_status
38,1, Not Graduate,,8400000,23000000,12,657,15400000,14800000,31900000,8200000,1
39,5, Not Graduate, No,6700000,24500000,12,818,1200000,5600000,16300000,6200000,1
40,2, Not Graduate, No,4300000,10600000,18,431,2100000,1500000,9300000,5200000,0
41,5, Graduate, Yes,9300000,30500000,18,841,19300000,10300000,34600000,8700000,1
42,3, Not Graduate, Yes,9600000,30500000,18,669,4700000,1900000,26500000,9300000,1
43,3, Not Graduate, Yes,3300000,7500000,20,586,1600000,5600000,10500000,2900000,1
44,4, Graduate, Yes,3900000,12300000,18,784,7600000,6900000,13100000,2800000,1
45,1, Graduate, No,4100000,10300000,12,364,9500000,6100000,14900000,2800000,0
46,3, Not Graduate, No,8300000,29100000,10,715,6100000,11900000,24100000,11900000,1
47,0, Not Graduate, Yes,2700000,10100000,20,693,200000,1700000,5900000,1400000,0
48,4, Graduate, No,5600000,12400000,4,777,5500000,3100000,11800000,5500000,1
49,5, Graduate, Yes,5300000,18600000,4,386,2700000,9700000,11900000,4200000,1
50,5, Not Graduate, No,7000000,18300000,4,418,18400000,11700000,21500000,7600000,0
51,2, Not Graduate, No,2600000,8400000,6,494,6500000,3800000,5600000,2000000,0
52,4, Graduate, No,5700000,14800000,16,697,14300000,7800000,12900000,6300000,1
53,0, Graduate, No,9000000,33500000,8,801,11600000,8900000,35400000,11100000,1
54,2, Not Graduate, No,8500000,29400000,12,576,17600000,5600000,25200000,9000000,1
55,4, Graduate, No,3500000,,4,470,1300000,2200000,12300000,2000000,0
56,2, Not Graduate, Yes,9900000,21200000,16,363,25500000,11400000,26600000,6800000,0
57,3, Graduate, No,3600000,8600000,20,613,9400000,300000,10300000,3300000,1
58,3, Not Graduate, Yes,3000000,8200000,16,713,5300000,5800000,11000000,3400000,1
59,2, Graduate,,6800000,,16,439,17100000,4700000,23300000,3600000,0
60,1, Not Graduate, Yes,8700000,28300000,8,402,20400000,13600000,27900000,10200000,0
61,4, Graduate, No,3800000,8900000,4,844,9100000,3500000,13100000,4700000,1
62,4, Graduate,,9400000,29400000,12,562,25900000,15200000,36400000,7100000,1
63,0, Graduate, No,4400000,10800000,14,463,2400000,4800000,13800000,4700000,0
64,4, Not Graduate, No,400000,900000,12,478,700000,100000,1200000,100000,0
65,2, Not Graduate, Yes,300000,1100000,2,702,300000,200000,500000,200000,1
66,4, Graduate, No,1600000,4500000,12,633,700000,1700000,4100000,1900000,1
67,3, Not Graduate, Yes,4200000,9700000,16,841,7800000,300000,16700000,5100000,1
68,4, Not Graduate, Yes,9000000,18100000,12,764,600000,16500000,20800000,11600000,1
69,1, Graduate, Yes,9700000,35900000,2,719,19600000,7600000,20400000,10900000,1
70,2, Graduate, No,3300000,6800000,14,317,3400000,300000,11700000,3600000,0
71,3, Graduate, Yes,7400000,18200000,14,302,5600000,3100000,17900000,5000000,0
72,5, Not Graduate, No,7100000,19700000,8,502,7300000,5600000,25300000,9800000,0
73,0, Not Graduate, Yes,3300000,10800000,12,797,600000,6000000,7700000,3300000,1
74,0, Not Graduate, No,600000,1600000,6,647,1500000,600000,1500000,700000,1
75,1, Not Graduate, Yes,9100000,32900000,2,717,2200000,2000000,23600000,5900000,1
76,5, Graduate, No,900000,2300000,16,545,100000,200000,2700000,800000,0
77,2, Graduate, No,800000,3200000,8,317,300000,1000000,2000000,900000,0
78,1, Not Graduate, No,8500000,32900000,10,570,5100000,6200000,20500000,5500000,1
79,0, Not Graduate, Yes,9000000,18700000,18,865,26800000,0,20900000,11300000,1
80,3, Graduate, No,7000000,19500000,14,719,12200000,10300000,18200000,10200000,1
81,4, Not Graduate, Yes,400000,800000,10,859,900000,500000,800000,200000,1
82,2, Not Graduate, Yes,700000,2600000,12,429,1600000,1300000,,800000,0
83,3, Graduate, No,400000,1200000,12,861,200000,600000,1100000,200000,1
84,0, Not Graduate,nan,9500000,20800000,14,565,15100000,11900000,33900000,13400000,1
85,3, Not Graduate, Yes,1800000,3600000,18,465,600000,500000,5400000,2600000,0
86,3, Graduate, No,1600000,5500000,12,425,600000,800000,5400000,900000,0
87,2, Not Graduate, No,4600000,16700000,2,786,200000,5900000,,6100000,1
88,5, Not Graduate, Yes,2200000,6700000,6,382,4400000,1300000,8600000,1100000,0
89,3, Not Graduate, Yes,2900000,8500000,12,564,1000000,3100000,7500000,1800000,1
90,2, Not Graduate, Yes,2500000,9400000,10,727,6600000,4100000,9500000,3300000,1
91,4, Not Graduate, No,3600000,7500000,6,894,1100000,6500000,7400000,2800000,1
92,2, Graduate, Yes,8600000,32100000,6,802,9400000,16700000,24500000,9800000,1
93,5, Not Graduate, No,600000,1500000,14,543,300000,900000,2100000,300000,0
94,1, Not Graduate, Yes,5200000,19300000,8,481,14300000,9500000,,4200000,0
95,5, Graduate, Yes,8900000,,6,772,13600000,5500000,20400000,8400000,1
96,1, Graduate, Yes,6500000,20600000,2,306,15900000,1900000,18100000,3200000,1
97,2, Not Graduate, No,1300000,4500000,6,415,0,900000,2900000,1200000,0
98,3, Not Graduate, No,9400000,35000000,16,548,18200000,4400000,36100000,4800000,0
99,5, Not Graduate, No,5000000,11200000,8,701,9100000,500000,14000000,4600000,1
100,5, Not Graduate, No,3100000,9600000,2,761,5800000,1800000,10400000,4200000,1
101,4, Not Graduate, No,4500000,15100000,6,693,3700000,1500000,17800000,6000000,1
102,3, Not Graduate, No,9700000,20600000,16,524,24200000,11100000,27400000,6100000,0
103,2, Graduate, Yes,8100000,22300000,18,737,22300000,12600000,27000000,7300000,1
104,0, Not Graduate, No,5700000,15900000,16,638,100000,9500000,16300000,4500000,1
105,4, Not Graduate, No,5800000,12800000,2,656,500000,5000000,16000000,2800000,1
106,1, Graduate, No,1800000,6500000,6,540,2500000,3200000,5000000,1100000,0
107,4, Not Graduate, Yes,9100000,35200000,6,341,1000000,300000,23100000,8200000,0
108,3, Not Graduate, Yes,3800000,10500000,12,886,4000000,500000,14900000,2300000,1
109,2, Not Graduate, Yes,7400000,28200000,8,376,21900000,5000000,17400000,5200000,0
110,4, Not Graduate,nan,6600000,14300000,8,371,10800000,9500000,18500000,7400000,0
111,2, Graduate,,1800000,5300000,6,826,4500000,700000,6500000,1300000,1
112,4, Not Graduate, No,9200000,27200000,12,873,4500000,1800000,33800000,11400000,1
113,5, Graduate, No,3800000,13900000,12,534,4700000,2900000,8200000,2800000,0
114,3, Not Graduate, Yes,4500000,17900000,6,787,9800000,3600000,,4200000,1
115,0, Not Graduate, No,2800000,9900000,8,742,4900000,1300000,6700000,1700000,1
116,2, Graduate, Yes,3800000,10900000,10,766,1900000,3900000,8600000,3000000,1
117,1, Not Graduate, Yes,1700000,5000000,10,888,2900000,900000,4100000,2200000,1
118,1, Not Graduate, No,7400000,19800000,18,458,12600000,6200000,27700000,4000000,0
119,1, Not Graduate, No,9000000,28200000,16,327,1700000,2300000,24000000,11200000,0
120,0, Not Graduate, No,3000000,6500000,2,612,8800000,3400000,6700000,1700000,1
121,1, Graduate, No,800000,2900000,8,682,2200000,1100000,,700000,1
122,5, Not Graduate, No,6400000,18300000,8,697,10000000,3600000,22500000,3600000,1
123,3, Graduate, No,9200000,27100000,12,306,5800000,11500000,28000000,9600000,0
124,4, Not Graduate, Yes,8500000,28900000,20,455,15200000,5800000,22500000,9400000,0
125,, Graduate, Yes,4700000,16400000,10,318,11400000,8100000,,4300000,0
126,2, Not Graduate, Yes,3800000,8900000,16,389,200000,5600000,12200000,2200000,0
127,2, Graduate, No,500000,1500000,2,888,1500000,300000,1500000,600000,1
128,2, Graduate, Yes,6900000,15600000,6,352,13000000,5300000,22600000,10000000,0
129,4, Not Graduate, Yes,9600000,30100000,12,870,300000,6700000,38200000,5600000,1
130,3, Not Graduate, No,2900000,6500000,18,827,8300000,600000,10400000,3200000,1
131,0, Graduate, No,7100000,15400000,18,707,10300000,10800000,19600000,5800000,1
132,3, Graduate, No,1400000,3300000,2,652,100000,2100000,3500000,1900000,1
133,3, Graduate, No,7800000,15900000,2,665,14400000,900000,27200000,5400000,1
134,5, Not Graduate,,1900000,7500000,20,715,5100000,2800000,6500000,2800000,1
135,2, Graduate, No,2600000,7800000,4,819,3100000,4300000,5700000,1500000,1
136,4, Graduate, Yes,9600000,21100000,6,809,16100000,9500000,34700000,8700000,1
137,1, Not Graduate, Yes,6800000,,2,744,15500000,3900000,23700000,3500000,1
138,4, Not Graduate, No,2900000,10400000,6,673,5100000,1700000,10600000,1700000,1
139,3, Graduate, Yes,7900000,21200000,18,695,13800000,10600000,21800000,4900000,1
140,4, Not Graduate, Yes,3900000,12400000,12,473,6400000,4700000,13100000,3800000,0
141,4, Graduate, No,7200000,19100000,4,774,9400000,7000000,17900000,3600000,1
142,1, Not Graduate, Yes,8700000,,10,717,25500000,8600000,,9100000,1
143,3, Not Graduate,nan,1100000,3500000,12,503,3000000,400000,2200000,1200000,0
144,1, Graduate, Yes,4000000,10900000,14,598,3600000,6600000,13600000,4400000,1
145,2, Graduate, No,9800000,32400000,2,543,24200000,17500000,25700000,7700000,1
146,3, Not Graduate, Yes,8800000,34600000,8,386,14800000,16500000,18400000,6000000,0
147,5, Not Graduate, Yes,3300000,7800000,16,632,8500000,500000,7100000,4900000,1
148,1, Graduate, Yes,6900000,23400000,4,481,18700000,1100000,23400000,10200000,1
149,3, Graduate, Yes,4100000,15500000,6,667,2800000,1600000,14700000,4000000,1
150,5, Graduate, Yes,3400000,11600000,16,479,9200000,5700000,11200000,2400000,0
151,3, Not Graduate, Yes,7000000,16200000,6,378,20000000,12600000,20300000,5500000,0
152,5, Graduate,nan,5700000,12900000,18,807,4100000,900000,18600000,5500000,1
153,1, Not Graduate, Yes,8200000,32400000,18,831,22800000,12300000,17700000,7800000,1
154,1, Not Graduate, Yes,8000000,28100000,18,725,1900000,12800000,23000000,7500000,1
155,2, Not Graduate, No,8000000,29300000,4,600,16500000,13200000,29400000,6500000,1
156,0, Not Graduate, Yes,9400000,27000000,10,536,4400000,1700000,33800000,4800000,0
157,0, Graduate, No,8400000,20600000,10,477,1500000,1500000,25000000,11900000,0
158,1, Not Graduate, Yes,1900000,5000000,6,560,1000000,1900000,6300000,1400000,1
159,0, Not Graduate, Yes,4200000,16400000,20,539,9500000,2100000,11400000,3100000,0
160,3, Not Graduate,,3700000,8500000,20,853,8300000,5700000,7500000,4900000,1
161,2, Not Graduate, No,2100000,,2,546,6000000,3200000,5700000,1500000,0
162,3, Graduate, Yes,9800000,35400000,6,869,14400000,16400000,22800000,10300000,1
163,2, Not Graduate, No,8000000,20000000,2,502,4100000,2200000,31600000,9900000,0
164,0, Graduate, No,9800000,38800000,8,652,23200000,19000000,29700000,5400000,1
165,0, Not Graduate, Yes,300000,1100000,8,789,400000,100000,800000,400000,1
166,4, Not Graduate, No,2700000,8100000,4,325,5000000,800000,9900000,3400000,1
167,3, Graduate, Yes,7400000,19600000,2,716,4100000,8900000,29100000,4200000,1
168,3, Graduate, No,9200000,34300000,18,523,25600000,4000000,29100000,8800000,0
169,5, Not Graduate, No,9500000,22200000,20,352,24500000,0,30800000,7000000,0
170,2, Graduate, Yes,2800000,7400000,18,666,100000,2300000,6300000,3400000,1
171,0, Graduate,nan,8600000,20900000,10,813,11300000,11900000,26000000,4800000,1
172,5, Graduate, Yes,4200000,9400000,6,678,4700000,5500000,9900000,5700000,1
173,5, Not Graduate,nan,5200000,12200000,20,513,13400000,2000000,16800000,5400000,0
174,3, Graduate, No,8800000,20400000,8,483,3200000,11400000,28200000,11800000,0
175,3, Graduate, Yes,1700000,4900000,16,591,4700000,1000000,4300000,1400000,1
176,1, Not Graduate, No,7000000,23000000,10,886,14000000,3700000,26700000,3600000,1
177,4, Not Graduate,,1700000,,,829,0,1600000,5200000,1700000,1
178,0, Not Graduate, No,1500000,4900000,12,651,1600000,2800000,4600000,800000,1
179,4, Not Graduate, No,2000000,4700000,18,733,3700000,3700000,7000000,2800000,1
180,5, Graduate, Yes,3900000,15500000,12,433,9500000,5400000,7900000,4600000,0
181,1, Graduate, Yes,900000,3600000,14,713,1300000,1000000,1800000,1200000,1
182,1, Graduate, No,6900000,22500000,18,403,800000,8400000,16900000,6300000,0
183,0, Graduate, Yes,2800000,7800000,10,405,7800000,2500000,7100000,3400000,0
184,3, Graduate, Yes,6800000,19900000,10,516,16000000,6000000,,8500000,0
185,4, Not Graduate, Yes,600000,1800000,8,417,1700000,700000,1800000,800000,0
186,1, Not Graduate, No,4700000,14000000,6,468,11300000,1800000,,4600000,0
187,1, Not Graduate, Yes,7700000,25500000,12,549,18100000,10600000,20500000,7000000,0
188,5, Not Graduate, Yes,4300000,9300000,10,450,2100000,6700000,10000000,4100000,0
189,, Graduate, Yes,5800000,19500000,20,431,13800000,5000000,15600000,3300000,0
190,0, Graduate, No,8800000,20200000,4,433,16000000,4200000,30500000,12400000,0
191,5, Not Graduate, Yes,8600000,28900000,8,516,9900000,1800000,30200000,6800000,0
192,5, Graduate, No,800000,2600000,6,560,100000,200000,3000000,1000000,1
193,2, Not Graduate, No,3300000,6600000,6,331,6300000,2000000,8900000,2700000,0
194,3, Not Graduate, No,4900000,12900000,18,877,1800000,7000000,17900000,3300000,1
195,5, Not Graduate, Yes,9200000,23600000,12,656,1400000,11200000,36400000,4900000,1
196,0, Not Graduate,,7500000,18200000,6,782,7400000,12000000,19800000,4100000,1
197,5, Not Graduate, No,9000000,29300000,4,531,10400000,9500000,35500000,5800000,1
198,2, Graduate,,8400000,33200000,14,474,19600000,15000000,25400000,11500000,0
199,3, Not Graduate, No,6400000,24400000,4,483,7800000,2400000,19100000,4500000,1
200,4, Graduate, No,5900000,16800000,8,481,6900000,11400000,19500000,3300000,0
201,2, Graduate, Yes,2200000,5100000,20,859,3800000,1200000,6400000,3100000,1
202,4, Graduate, Yes,5600000,14100000,14,696,9000000,9200000,16500000,6800000,1
203,4, Not Graduate, No,9800000,28700000,6,778,16600000,7400000,29700000,11100000,1
204,2, Not Graduate, Yes,2400000,4900000,4,888,6400000,4300000,5100000,3400000,1
205,4, Graduate, No,3700000,13200000,4,802,9800000,2400000,12500000,4300000,1
206,4, Not Graduate, Yes,2300000,7800000,8,540,1500000,3400000,4700000,2800000,0
207,4, Graduate, Yes,5900000,19600000,8,726,17400000,6800000,20100000,8000000,1
208,3, Not Graduate, Yes,9500000,24200000,8,879,3100000,17200000,26400000,12700000,1
209,2, Not Graduate, No,5700000,16400000,12,708,3700000,800000,15000000,4400000,1
210,2, Not Graduate, Yes,2700000,5700000,8,850,3500000,5000000,10500000,3900000,1
211,2, Not Graduate, Yes,3900000,11300000,12,516,3100000,0,10400000,4600000,0
212,0, Not Graduate,,7800000,28800000,12,465,4700000,7500000,28800000,7400000,0
213,0, Graduate, No,1100000,3200000,20,716,1800000,1400000,3600000,1500000,1
214,4, Not Graduate, No,200000,600000,10,404,0,100000,400000,0,0
215,3, Not Graduate,nan,8200000,20600000,10,441,16100000,11400000,29100000,6100000,0
216,2, Not Graduate, Yes,4600000,18400000,2,555,7700000,2400000,14200000,4200000,1
217,5, Not Graduate,nan,1800000,7000000,18,466,2600000,2100000,6000000,1900000,0
218,4, Not Graduate, Yes,5500000,20000000,14,593,15100000,2700000,19900000,4900000,1
219,3, Graduate, No,7900000,18300000,10,731,4200000,3400000,22200000,8400000,1
220,3, Not Graduate, Yes,6800000,16900000,18,628,3600000,900000,15600000,4900000,1
221,1, Not Graduate,,2700000,9400000,18,704,5300000,2300000,,2400000,1
222,2, Not Graduate, No,6800000,23500000,,341,19300000,11800000,14300000,8500000,0
223,5, Graduate, No,8600000,21000000,8,465,11700000,14900000,19500000,9900000,0
224,1, Graduate, Yes,3700000,12600000,10,424,5400000,1100000,14200000,4400000,0
225,4, Graduate, No,4200000,16800000,6,381,9600000,3800000,14800000,5900000,0
226,5, Graduate, Yes,8000000,28000000,10,449,18500000,1500000,17400000,3900000,0
227,1, Not Graduate, No,7100000,23500000,12,768,6400000,12100000,22400000,7300000,1
228,4, Not Graduate, Yes,5800000,13300000,14,742,16100000,9300000,16300000,7000000,1
229,3, Not Graduate, Yes,6700000,15800000,4,445,10500000,7600000,,9100000,0
230,2, Graduate, No,7300000,28700000,14,634,5900000,3800000,21200000,10800000,1
231,4, Not Graduate, No,3300000,9700000,14,782,2500000,0,10400000,2200000,1
232,5, Not Graduate, No,3700000,9800000,4,563,9500000,5100000,11200000,3000000,1
233,2, Not Graduate, No,8400000,26300000,4,419,22900000,7900000,29200000,6200000,1
234,0, Graduate, Yes,8200000,20800000,14,372,3800000,100000,26100000,5200000,0
235,0, Graduate, No,4400000,14100000,2,349,3300000,1300000,8800000,6200000,1
236,1, Not Graduate, Yes,9000000,32200000,16,468,4500000,16400000,28600000,10900000,0
237,2, Not Graduate, No,8700000,28000000,12,543,16900000,6000000,22900000,6700000,0
238,1, Not Graduate,nan,9400000,29800000,10,377,24100000,18500000,30900000,11700000,0
239,0, Not Graduate, Yes,1000000,4000000,10,620,2400000,1300000,3700000,1100000,1
240,3, Graduate, Yes,900000,2300000,20,611,600000,1500000,1900000,500000,1
241,4, Not Graduate, No,2100000,7700000,4,767,1200000,1700000,,1300000,1
242,5, Graduate, Yes,1100000,3200000,20,592,3200000,700000,3500000,500000,1
243,5, Graduate, Yes,7700000,16800000,20,584,8600000,4800000,23400000,8000000,1
244,4, Graduate, Yes,9500000,23500000,14,380,22900000,6700000,25100000,7300000,0
245,0, Not Graduate, No,500000,1800000,2,531,1300000,500000,1900000,700000,1
246,2, Not Graduate, Yes,9300000,29000000,12,655,7900000,6800000,29900000,4900000,1
247,3, Not Graduate, No,2300000,7400000,2,682,6500000,2400000,7600000,2100000,1
248,3, Not Graduate, No,3200000,,4,833,2600000,1000000,8700000,2600000,1
249,5, Not Graduate, Yes,9400000,35300000,16,302,4100000,12500000,37000000,12900000,0
250,1, Graduate, No,2300000,6600000,2,357,5900000,200000,6000000,2200000,0
251,5, Not Graduate, No,4300000,14500000,12,302,12500000,4300000,12500000,5100000,0
252,0, Not Graduate, Yes,7200000,19800000,12,658,12700000,8100000,25000000,7300000,1
253,5, Graduate, Yes,2400000,8700000,18,877,2800000,2900000,7100000,1100000,1
254,1, Graduate, No,1400000,5200000,,730,2900000,0,3700000,700000,1
255,4, Not Graduate, Yes,2200000,8200000,14,737,5800000,2800000,8200000,1400000,1
256,2, Graduate, Yes,800000,3200000,10,584,0,200000,2100000,700000,0
257,4, Graduate, Yes,700000,2700000,16,583,1100000,1200000,1400000,300000,1
258,2, Not Graduate, No,8400000,25900000,16,621,8600000,13400000,33500000,4200000,1
259,4, Graduate, No,5400000,15700000,18,452,13700000,2600000,16500000,6600000,0
260,5, Graduate, No,3700000,7300000,18,339,9300000,100000,13900000,5300000,0
261,4, Not Graduate, Yes,200000,700000,10,672,200000,200000,300000,300000,1
262,3, Graduate, No,500000,1000000,20,501,800000,800000,900000,200000,0
263,2, Not Graduate, Yes,1800000,,4,809,1200000,1900000,6300000,2400000,1
264,5, Graduate, Yes,9200000,29400000,8,318,18000000,5900000,33800000,5400000,0
265,4, Not Graduate, No,900000,3300000,10,649,0,400000,1800000,1200000,1
266,3, Not Graduate, No,7500000,28300000,12,367,9200000,11300000,22700000,7000000,0
267,5, Not Graduate, No,3000000,11800000,6,847,8200000,2200000,7100000,2300000,1
268,5, Graduate, No,7100000,18900000,12,360,10700000,1100000,19800000,8500000,0
269,1, Graduate, Yes,3500000,7200000,2,865,4100000,3200000,11900000,4200000,1
270,4, Not Graduate, No,4900000,18800000,16,880,4200000,4700000,,2600000,1
271,0, Graduate, Yes,800000,2100000,6,760,300000,100000,1600000,600000,1
272,3, Graduate, Yes,1700000,4600000,12,385,1500000,1300000,5200000,1700000,0
273,3, Graduate, No,1700000,5400000,6,710,4800000,700000,5800000,1700000,1
274,4, Not Graduate, Yes,4000000,14500000,6,711,2400000,5700000,,4100000,1
275,5, Graduate, No,5600000,18400000,8,386,11300000,6700000,11300000,5600000,0
276,4, Graduate, Yes,3900000,11900000,10,855,10200000,4000000,,2800000,1
277,4, Graduate, Yes,6100000,15300000,14,573,1100000,9900000,13300000,8400000,1
278,2, Graduate, No,5500000,14800000,8,364,13000000,4500000,12600000,4500000,0
279,4, Graduate, Yes,1100000,3600000,14,711,2500000,500000,,600000,1
280,3, Graduate, No,9200000,36400000,18,669,3100000,12700000,30900000,12300000,1
281,1, Graduate,,1100000,3500000,8,562,2300000,1200000,3200000,500000,1
282,3, Not Graduate, No,5600000,18700000,,769,8000000,8200000,,4800000,1
283,0, Graduate, Yes,6300000,21500000,8,629,600000,3400000,22000000,5200000,1
284,3, Graduate, No,8800000,18100000,6,699,6400000,2100000,18500000,9400000,1
285,0, Not Graduate, No,8400000,20800000,20,590,5100000,8900000,32100000,10800000,1
286,3, Graduate, Yes,1600000,5700000,4,707,3300000,2700000,,2300000,1
287,3, Not Graduate, Yes,4500000,11400000,8,391,8500000,6800000,9900000,4500000,0
288,5, Not Graduate, No,6500000,18500000,4,891,13600000,3300000,23600000,7100000,1
289,3, Graduate, Yes,9500000,20600000,2,731,13400000,3800000,20700000,9200000,1
290,5, Graduate, Yes,9600000,32400000,2,897,3500000,15400000,26800000,6200000,1
291,2, Graduate, No,7700000,16700000,6,555,12900000,2900000,18100000,8500000,1
292,1, Not Graduate, Yes,3600000,10300000,12,536,6800000,500000,12200000,2700000,0
293,2, Not Graduate, No,700000,1700000,10,839,100000,700000,2000000,900000,1
294,0, Graduate, Yes,1400000,5100000,6,890,4100000,1900000,5200000,1900000,1
295,4, Graduate, No,4700000,15700000,4,868,3300000,2500000,13800000,4800000,1
296,4, Not Graduate, No,9000000,29000000,16,590,4600000,15600000,29200000,12300000,1
297,5, Graduate, Yes,500000,900000,18,618,1400000,600000,1200000,400000,1
298,2, Graduate, No,1800000,4700000,8,792,4500000,1200000,4100000,2200000,1
299,, Graduate, Yes,5400000,21500000,14,555,4300000,1500000,14300000,7500000,1
300,0, Graduate, No,7400000,20900000,6,635,15600000,14000000,21000000,7200000,1
301,2, Graduate, No,3200000,12500000,10,457,6100000,2000000,8200000,4300000,0
302,1, Graduate, Yes,5400000,21400000,8,350,2600000,1000000,19700000,6800000,0
303,1, Graduate,,3800000,10500000,12,710,1800000,6200000,12500000,2500000,1
304,5, Not Graduate, Yes,5500000,17300000,16,874,1000000,2900000,13700000,7900000,1
305,5, Not Graduate, Yes,500000,1800000,18,411,1000000,500000,1300000,200000,0
306,0, Not Graduate, Yes,300000,1100000,2,482,200000,100000,1100000,400000,1
307,0, Not Graduate, No,300000,900000,20,436,0,400000,600000,200000,0
308,0, Not Graduate, Yes,6900000,22100000,20,303,13600000,4600000,22000000,6900000,0
309,4, Graduate, No,3700000,11400000,12,728,4200000,5800000,7300000,2300000,1
310,5, Graduate, Yes,8200000,23500000,12,402,15100000,1500000,24300000,5800000,0
311,0, Not Graduate, No,2400000,7800000,14,665,5200000,2900000,6200000,2900000,1
312,1, Not Graduate, Yes,700000,2700000,20,669,100000,1000000,2600000,500000,1
313,4, Not Graduate, No,8300000,30700000,6,381,21700000,2300000,26700000,4600000,0
314,4, Graduate, No,8300000,24900000,16,506,15400000,5600000,26700000,7000000,0
315,3, Not Graduate, Yes,2500000,8800000,12,538,4900000,1800000,9100000,3300000,0
316,3, Graduate, Yes,5400000,14400000,8,677,11000000,7900000,20800000,3100000,1
317,2, Not Graduate, No,2400000,6200000,12,860,4900000,3700000,9500000,1100000,1
318,4, Graduate, Yes,2500000,5300000,10,540,2300000,2800000,7100000,1700000,0
319,3, Not Graduate, No,2900000,8500000,14,834,1200000,4500000,8800000,1800000,1
320,3, Graduate, Yes,1000000,3500000,16,834,800000,1700000,3000000,700000,1
321,2, Graduate, Yes,8600000,28800000,8,890,23300000,5900000,21200000,7200000,1
322,1, Not Graduate, No,300000,1100000,12,443,600000,400000,1200000,200000,0
323,5, Not Graduate, No,2300000,5700000,18,329,5600000,3300000,4900000,2700000,0
324,2, Not Graduate, Yes,2400000,5400000,12,739,300000,2500000,5000000,3000000,1
325,2, Not Graduate, No,8100000,24800000,6,307,200000,4000000,31100000,10500000,0
326,3, Graduate, No,6700000,15500000,18,492,2100000,2000000,26300000,9400000,0
327,1, Not Graduate, Yes,8400000,24700000,18,698,23000000,13200000,,12200000,1
328,2, Graduate, No,200000,700000,8,851,400000,200000,800000,200000,1
